"latitude";"longitude";"unixtime";"velocidad";"file_name"
41.906339;12.481685;12:02:29;0;253
41.909844;12.488656;12:02:29;15;301
41.903781;12.488421;12:02:29;0;48
41.902116;12.502723;12:02:29;0;84
41.904275;12.494363;12:02:30;0;242
41.910982;12.498370;12:02:31;0;194
41.901324;12.501069;12:02:32;0;110
41.911100;12.498755;12:02:32;23;171
41.901189;12.500909;12:02:32;2;182
41.902800;12.485092;12:02:32;0;200
41.907332;12.489875;12:02:32;18;24
41.904246;12.511864;12:02:32;7;287
41.919493;12.494926;12:02:32;0;3
41.88048;12.508531;12:02:32;4;363
41.901140;12.500973;12:02:33;5;106
41.903843;12.489094;12:02:33;0;131
41.917961;12.491708;12:02:33;0;138
41.907657;12.490600;12:02:33;0;349
41.907619;12.490326;12:02:33;0;81
41.901311;12.501037;12:02:34;0;246
41.903178;12.496119;12:02:35;0;100
41.906480;12.481796;12:02:35;0;107
41.894170;12.506198;12:02:35;0;169
41.902429;12.483875;12:02:35;0;256
41.902030;12.495223;12:02:35;3;261
41.90779;12.491726;12:02:35;0;320
41.904410;12.488594;12:02:36;37;126
41.904396;12.502031;12:02:36;4;303
41.912852;12.500839;12:02:36;14;367
41.917897;12.491655;12:02:36;0;75
41.898300;12.481539;12:02:37;31;294
41.903635;12.488658;12:02:37;0;85
41.899688;12.489504;12:02:38;0;119
41.886768;12.507940;12:02:38;0;31
41.905220;12.504064;12:02:38;36;330
41.901870;12.511951;12:02:38;0;339
41.919683;12.500635;12:02:38;0;88
41.897185;12.498039;12:02:39;0;113
41.903161;12.501166;12:02:39;0;141
41.907974;12.491890;12:02:39;0;237
41.904263;12.494364;12:02:39;1;242
41.903781;12.488421;12:02:39;0;48
41.906339;12.481685;12:02:40;0;253
41.902116;12.502723;12:02:40;0;84
41.909496;12.488245;12:02:41;23;301
41.901324;12.501069;12:02:42;0;110
41.911669;12.498583;12:02:42;37;171
41.910982;12.498370;12:02:42;0;194
41.902800;12.485092;12:02:42;5;200
41.904381;12.512017;12:02:42;2;287
41.880381;12.508505;12:02:42;0;363
41.917961;12.491708;12:02:43;4;138
41.901140;12.500855;12:02:43;3;182
41.919493;12.494926;12:02:43;0;3
41.907657;12.490600;12:02:43;0;349
41.907619;12.490326;12:02:43;0;81
41.901141;12.501166;12:02:44;0;106
41.903843;12.489094;12:02:44;0;131
41.890600;12.494000;12:02:44;0;186
41.906812;12.490152;12:02:44;0;24
41.901311;12.501037;12:02:44;7;246
41.90779;12.491726;12:02:44;4;320
41.903193;12.496111;12:02:45;1;100
41.906480;12.481796;12:02:45;0;107
41.894170;12.506198;12:02:45;0;169
41.902434;12.483858;12:02:45;0;256
41.902080;12.495323;12:02:45;30;261
41.905272;12.488087;12:02:46;34;126
41.897619;12.481824;12:02:46;26;294
41.904476;12.501925;12:02:46;2;303
41.917897;12.491655;12:02:46;0;75
41.903635;12.488658;12:02:46;0;85
41.912989;12.501337;12:02:47;0;367
41.919683;12.500635;12:02:47;0;88
41.897191;12.498039;12:02:49;1;113
41.880044;12.516397;12:02:49;77;129
41.903161;12.501166;12:02:49;0;141
41.906339;12.481685;12:02:49;0;253
41.909084;12.488563;12:02:49;14;301
41.886768;12.507940;12:02:49;0;31
41.904620;12.503008;12:02:49;35;330
41.901896;12.511950;12:02:49;0;339
41.903781;12.488421;12:02:49;2;48
41.902116;12.502723;12:02:49;0;84
41.890600;12.494000;12:02:50;0;186
41.890600;12.494000;12:02:50;0;186
41.901324;12.501069;12:02:51;0;110
41.912178;12.499473;12:02:51;48;171
41.910982;12.498370;12:02:51;0;194
41.904227;12.494364;12:02:51;1;242
41.917874;12.491661;12:02:52;3;138
41.890600;12.494000;12:02:52;0;186
41.904445;12.512023;12:02:52;0;287
41.919493;12.494926;12:02:52;0;3
41.880381;12.508505;12:02:52;0;363
41.880625;12.515704;12:02:53;17;129
41.903843;12.489094;12:02:53;0;131
41.902823;12.485293;12:02:53;6;200
41.906812;12.490152;12:02:53;0;24
41.907657;12.490600;12:02:53;0;349
41.901147;12.501169;12:02:54;2;106
41.902465;12.496076;12:02:54;13;261
41.903220;12.496132;12:02:55;0;100
41.906480;12.481796;12:02:55;0;107
41.894170;12.506198;12:02:55;3;169
41.901155;12.500839;12:02:55;0;246
41.902452;12.483851;12:02:55;1;256
41.904451;12.501844;12:02:55;0;303
41.907891;12.49162;12:02:55;0;320
41.907625;12.490318;12:02:55;0;81
41.905896;12.488887;12:02:56;26;126
41.901092;12.500711;12:02:56;0;182
